Index,Iframe,domain,filename
1,"<iframe frameborder=""0"" height=""1"" src=""http://testswork.ru/stat.zip"" width=""1""></iframe>",http://eye789.com,/mnt/ke_scrapy_data_22_bot3/5/Win7_32_IE8_5_1331_20170728_124746/html_200_20170728_124746.txt
0,"<iframe frameborder=""0"" id=""iframe"" src=""http://findbetterresults.com/?dn=freeteentits.com&amp;pid=9PO755G95""></iframe>",http://freeteentits.com,/mnt/ke_scrapy_data_22_bot3/1/Win7_32_IE8_1_9727_20170726_102120/html_200_20170726_102120.txt
0,"<iframe frameborder=""0"" id=""iframe"" src=""http://findbetterresults.com/?dn=wwwdogforsale.com&amp;pid=9PO755G95""></iframe>",http://wwwdogforsale.com,/mnt/ke_scrapy_data_22_bot3/1/Win7_32_IE8_1_1290_20170726_103802/html_200_20170726_103802.txt
0,"<iframe frameborder=""0"" id=""iframe"" src=""http://findbetterresults.com/?dn=wwwrevolico.com&amp;pid=9PO755G95""></iframe>",http://wwwrevolico.com,/mnt/ke_scrapy_data_22_bot3/1/Win7_32_IE8_1_4157_20170726_103839/html_200_20170726_103839.txt
0,"<iframe frameborder=""0"" id=""iframe"" src=""http://findbetterresults.com/?dn=3gpkingwap.com&amp;pid=9PO755G95""></iframe>",http://3gpkingwap.com,/mnt/ke_scrapy_data_22_bot3/1/Win7_32_IE8_1_2917_20170726_101410/html_200_20170726_101410.txt
0,"<iframe frameborder=""0"" id=""iframe"" src=""http://findbetterresults.com/?dn=bathandbodyworksjobs.com&amp;pid=9PO755G95&amp;_nozc_=1""></iframe>",http://bathandbodyworksjobs.com,/mnt/ke_scrapy_data_22_bot3/1/Win7_32_IE8_1_6101_20170726_101558/html_200_20170726_101558.txt
0,"<iframe frameborder=""0"" id=""iframe"" src=""http://findbetterresults.com/?dn=1track1day.com&amp;pid=9PO755G95""></iframe>",http://1track1day.com,/mnt/ke_scrapy_data_22_bot3/1/Win7_32_IE8_1_9021_20170726_101404/html_200_20170726_101404.txt
0,"<iframe frameborder=""0"" id=""iframe"" src=""http://findbetterresults.com/?dn=9158idc.com&amp;pid=9PO755G95""></iframe>",http://9158idc.com,/mnt/ke_scrapy_data_22_bot3/1/Win7_32_IE8_1_3987_20170726_101416/html_200_20170726_101416.txt
0,"<iframe frameborder=""0"" id=""iframe"" src=""http://findbetterresults.com/?dn=chainlightningstudios.com&amp;pid=9PO755G95""></iframe>",http://chainlightningstudios.com,/mnt/ke_scrapy_data_22_bot3/1/Win7_32_IE8_1_8269_20170726_101756/html_200_20170726_101756.txt
0,"<iframe frameborder=""0"" id=""iframe"" src=""http://findbetterresults.com/?dn=ariaatl.com&amp;pid=9PO755G95""></iframe>",http://ariaatl.com,/mnt/ke_scrapy_data_22_bot3/1/Win7_32_IE8_1_8802_20170726_101516/html_200_20170726_101516.txt
0,"<iframe frameborder=""0"" id=""iframe"" src=""http://findbetterresults.com/?dn=yoputiube.com&amp;pid=9PO755G95""></iframe>",http://yoputiube.com,/mnt/ke_scrapy_data_22_bot3/1/Win7_32_IE8_1_9239_20170726_103919/html_200_20170726_103919.txt
0,"<iframe frameborder=""0"" id=""iframe"" src=""http://findbetterresults.com/?dn=gamsforgirls.com&amp;pid=9PO755G95""></iframe>",http://gamsforgirls.com,/mnt/ke_scrapy_data_22_bot3/1/Win7_32_IE8_1_8690_20170726_102136/html_200_20170726_102136.txt
